Feature	pick	pool																																								
Citizen Soldier	all	Weapon	simple melee weapons	martial melee weapons	light armor	medium armor	shields																																			
all Martial Melee	all	Weapon	nyss claymore	nyss greatsword	greatsword	steam drill	sword cane	greataxe	caspian battleblade	rapier	scimitar	sickle staff	cutlass	heavy voulge	longsword	morningstar	warhammer	two-handed flail	kopis	trench sword	battleaxe	flail	maul	shortsword	war pick	trench knife	nyss curved halberd	voltaic halberd	hooked greatsword	ogrun warcleaver	blasting pike	chain blade	glaive	halberd	lance	pike	whip	storm glaive	caber	trident	electro lance	storm thrower
all Simple Melee	all	Weapon	stave of authority	flame spear	'jack wrench	mace	pickaxe	gaff spear	springblade	bayonet	light kopis	gaff	coal shovel	halfspear	sickle	knuckledusters	greatclub	quarterstaff	club	handaxe	harpoon	dagger	light hammer	spear	javelin																	
all Tools	all	Tools	Cook's utensils	Weaver's tools	Woodcarver's tools	Gunsmith's kit	Cobbler's tools	Leatherworker's tools	Carpenter's tools	Calligrapher's supplies	Mason's tools	Painter's supplies	Potter's tools	Cartographer's tools	Forensic kit	Brewer's supplies	Smith's tools	Field alchemy kit	Jeweler's tools	Glassblower's tools	Mechanik's toolkit	Weatherometer	Alchemist's supplies	Tinker's tools	Rune-etching kit																	
all Martial Rifles	all	Weapon	slug gun	cannon-shield	rocket launcher	vanar liberator	houseguard heavy rifle	ogrun battle cannon	fire breather	barrage arquebus	sword-cannon	dawnguard sword-cannon	carbine	vortex cannon	magelock rifle	slugger	repeating rifle	lance cannon	military rifle	heavy rifle	arcantrik cannon																					
all Skills	all	Skill	Survival	Stealth	Sleight of Hand	Religion	Persuasion	Performance	Perception	Nature	Medicine	Investigation	Intimidation	Insight	History	Deception	Athletics	Arcana	Animal Handling	Acrobatics																						
all medium armor	all	Armor	Half plate	Houseguard armor	Tailored plate	Breastplate	Infantry Armor	Scale mail	Armored apron	Chain shirt	Hide																															
all Heavy Armor	all	Armor	Dawnguard plate	Forge Guard plate	Plate	Storm Knight	House Ellowuyr plate	Splint	Chain mail	Ring mail																																
all Martial Ranged	all	Weapon	repeating crossbow	heavy crossbow	longbow	stormfall great bow	nyss bow	blowgun	hand crossbow	net																																
all Martial Pistols	all	Weapon	radcliffe quad-iron	hand mortar	dual magelock pistol	magelock pistol	heavy iosan pistol	dual hand cannon	hand cannon																																	
all Simple Pistols	all	Weapon	rivet gun	rynnish holdout	musket pistol	harpoon pistol	repeating pistol	pistol	iosan pistol																																	
all Simple Rifles	all	Weapon	rynnish walking stick	scattergun	blunderbuss	musket	harpoon gun	pig iron	iosan long rifle																																	
